"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.951515900E-2,2.009970993E-1,1.292124242E-1,1.001216793E1,1.001501884E1
4.192219000E-2,1.028913707E-1,5.503492057E-2,9.217152596E0,9.217891160E0
4.432916900E-2,1.938186288E-1,7.657032460E-2,9.255437851E0,9.257783670E0
4.673614900E-2,1.698904037E-1,6.460621208E-2,9.878170013E0,9.879842080E0
4.914312800E-2,1.316052526E-1,-5.982056633E-2,1.030409241E1,1.030510644E1
5.155015900E-2,1.890329868E-1,3.349951655E-2,1.008634567E1,1.008817252E1
5.395713800E-2,2.273181528E-1,5.264209956E-2,9.629017830E0,9.631844533E0
5.636411700E-2,1.746760458E-1,6.699903309E-2,9.468698502E0,9.470546547E0
5.877109700E-2,1.962114573E-1,6.460621208E-2,9.724730492E0,9.726924284E0
6.117812800E-2,1.818545163E-1,1.674975827E-2,1.006002426E1,1.006168176E1
6.358510700E-2,1.555334777E-1,3.349951655E-2,1.011027431E1,1.011152608E1
6.599208600E-2,1.914258152E-1,4.785645381E-2,9.861420631E0,9.863394494E0
6.839906500E-2,1.603191197E-1,5.503492057E-2,9.662516594E0,9.664003207E0
7.080609700E-2,1.555334777E-1,6.221338734E-2,9.736694336E0,9.738135230E0
7.321307600E-2,1.363908947E-1,5.503492057E-2,9.914062500E0,9.915153381E0
7.562005500E-2,9.332008660E-2,5.982056633E-2,9.961918831E0,9.962535517E0
7.802703400E-2,1.028913707E-1,8.374879509E-2,9.813264847E0,9.814161576E0
8.043406500E-2,8.374879509E-2,1.172483116E-1,9.681659698E0,9.682731822E0
8.284104400E-2,8.374879509E-2,1.244267747E-1,9.794121742E0,9.795270113E0
8.524802400E-2,-1.076770201E-1,1.770688742E-1,1.023948669E1,1.024158364E1
8.765500300E-2,-1.459621787E-1,1.292124242E-1,9.820742607E0,9.822677138E0
9.006203400E-2,1.914258152E-1,1.435693651E-1,9.492626190E0,9.495641526E0
9.246901300E-2,4.785645381E-2,1.244267747E-1,9.930811882E0,9.931706646E0
9.487599200E-2,5.503492057E-2,3.349951655E-2,1.018923664E1,1.018944034E1
9.728297200E-2,1.435693651E-1,1.124626622E-1,1.006241703E1,1.006406958E1
9.969000300E-2,9.332008660E-2,8.853443712E-2,9.700801849E0,9.701654679E0
1.020969820E-1,1.627119333E-1,8.853443712E-2,9.585947037E0,9.587736652E0
1.045039610E-1,1.555334777E-1,8.374879509E-2,9.739087105E0,9.740688998E0
1.069109400E-1,1.483550072E-1,1.914258115E-2,9.904491425E0,9.905620931E0
1.093179720E-1,1.531406492E-1,4.785645381E-2,9.856635094E0,9.857940843E0
1.117249510E-1,1.746760458E-1,5.742774159E-2,9.674481392E0,9.676228597E0
1.141319300E-1,1.746760458E-1,4.785645381E-2,9.562018394E0,9.563733462E0
1.165389090E-1,1.651047617E-1,5.742774159E-2,9.643374443E0,9.644958692E0
1.189459400E-1,1.459621787E-1,3.110669367E-2,9.786943436E0,9.788081242E0
1.213529190E-1,1.531406492E-1,3.110669367E-2,9.851848602E0,9.853087870E0
1.237598990E-1,1.411765367E-1,5.264209956E-2,9.798908234E0,9.800066560E0
1.261668780E-1,1.316052526E-1,6.460621208E-2,9.746265411E0,9.747368023E0
